"","inspection_id","license_","facility_type","risk","inspection_date","inspection_type","results","criticalCount","seriousCount","minorCount","pastFail","pastCritical","pastSerious","pastMinor","timeSinceLast","firstRecord","pass_flag"
"59277","1114699","1579370","Restaurant","Risk 1 (High)",2013-02-27,"Canvass","Pass",0,0,3,0,0,0,3,1.50958904109589,0,1
"78783","545734","15795","Other","Risk 1 (High)",2012-01-06,"Canvass","Fail",0,1,4,0,0,0,0,1.32602739726027,0,0
"12883","660124","1579503","Restaurant","Risk 1 (High)",2012-01-23,"Canvass","Fail",1,1,6,0,0,0,4,0.775342465753425,0,0
"2972","1158413","1579507","Grocery Store","Risk 3 (Low)",2012-07-12,"Canvass","Fail",2,2,3,1,0,2,4,2,0,0
"13007","545771","15796","Other","Risk 1 (High)",2012-01-25,"Canvass","Pass",0,0,5,0,0,0,8,0.479452054794521,0,1
"68175","670590","1579625","Restaurant","Risk 1 (High)",2012-02-17,"Canvass","Pass",0,0,5,0,0,0,7,0.364383561643836,0,1
"36551","1361245","1579625","Restaurant","Risk 1 (High)",2013-07-26,"Canvass","Pass",0,0,6,0,0,0,3,0.863013698630137,0,1
"11183","1324581","1579725","Restaurant","Risk 1 (High)",2013-07-29,"Canvass","Pass",0,0,1,0,0,0,2,2,0,1
"48526","1227508","1579740","Other","Risk 1 (High)",2012-08-21,"Canvass","Pass",0,0,2,0,0,2,4,1.3972602739726,0,1
"35729","1151298","1579740","Other","Risk 1 (High)",2013-05-17,"Canvass","Pass",0,0,4,0,0,0,2,0.736986301369863,0,1
"25693","1098798","1579761","Restaurant","Risk 1 (High)",2013-01-10,"Canvass","Pass",0,0,5,0,1,0,5,1.52054794520548,0,1
"58605","679774","1579774","Grocery Store","Risk 1 (High)",2012-04-10,"Canvass","Pass",0,0,0,0,0,0,0,1.23561643835616,0,1
"17685","1326788","1579774","Grocery Store","Risk 1 (High)",2013-04-08,"Canvass","Pass",0,0,0,0,0,0,0,0.994520547945206,0,1
"40512","1096431","1579785","Grocery Store","Risk 2 (Medium)",2012-08-09,"Canvass","Fail",0,1,4,0,0,1,8,1.47671232876712,0,0
"30192","659936","1579789","Restaurant","Risk 2 (Medium)",2012-01-10,"Canvass","Pass w/ Conditions",2,0,5,0,0,0,0,2,1,0
"70284","1198770","1579825","Restaurant","Risk 1 (High)",2013-03-25,"Canvass","Pass",0,0,5,0,0,2,3,1.65753424657534,0,1
"7997","626390","1579961","Restaurant","Risk 1 (High)",2012-02-03,"Canvass","Pass",0,0,9,0,2,0,9,0.753424657534247,0,1
"20437","1196298","15810","Other","Risk 1 (High)",2012-05-08,"Canvass","Pass",0,0,4,0,0,0,6,1.05753424657534,0,1
"74674","1196299","15811","Other","Risk 1 (High)",2012-05-08,"Canvass","Pass",0,0,4,0,0,0,5,1.05753424657534,0,1
"48690","1196267","15815","Other","Risk 1 (High)",2012-04-25,"Canvass","Pass",0,0,2,0,0,0,6,2,0,1
"2680","537762","15817","Other","Risk 1 (High)",2011-12-12,"Canvass","Pass",0,0,3,0,0,0,4,1.42739726027397,0,1
"75505","1234957","15822","Other","Risk 1 (High)",2012-08-29,"Canvass","Fail",0,1,4,0,0,0,0,2,1,0
"61247","1098789","15826","Other","Risk 1 (High)",2013-01-07,"Canvass","Pass",0,0,4,0,0,0,3,1.43287671232877,0,1
"69693","671130","15860","Grocery Store","Risk 3 (Low)",2012-03-21,"Canvass","Pass",0,0,1,0,0,0,0,2,1,1
"49380","547837","15878","Grocery Store","Risk 3 (Low)",2011-11-22,"Canvass","Fail",0,1,7,0,0,0,0,2,1,0
"44221","1290208","1588","Restaurant","Risk 2 (Medium)",2012-09-18,"Canvass","Pass",0,0,4,0,0,0,2,1.22739726027397,0,1
"87090","1184502","15888","Restaurant","Risk 1 (High)",2012-08-08,"Canvass","Pass w/ Conditions",0,1,4,0,0,0,3,1.09041095890411,0,0
"79930","1174563","15888","Restaurant","Risk 1 (High)",2013-07-26,"Canvass","Pass",0,0,7,0,0,1,4,0.964383561643836,0,1
"7000","670343","15910","Restaurant","Risk 1 (High)",2012-02-09,"Canvass","Pass",0,0,2,0,0,1,8,1.07945205479452,0,1
"82002","1235790","15910","Restaurant","Risk 1 (High)",2013-05-15,"Canvass","Pass",0,0,2,0,0,0,2,1.26027397260274,0,1
"20296","1099087","15913","Restaurant","Risk 2 (Medium)",2013-07-17,"Canvass","Fail",0,2,5,0,0,0,5,1.99178082191781,0,0
