"RowLabels","dba","address","licensenumber","licensetype","inspectorassigned","inspectiondate","inspectionpurpose"
"1","7- ELEVEN","2010 N DAMEN AVE CHICAGO, IL 60647","1337708","Food","Joseph Jantke",2014-09-02,"Canvass"
"2","SAM'S QUICKSTOP","758 S WESTERN AVE CHICAGO, IL 60612","2349814","Food","Michelle Jackson",2014-09-02,"License Re-Inspection"
"3","BUCKTOWN ACADEMY","1903 N MILWAUKEE AVE CHICAGO, IL 60647 ","2293924","Food","Michelle Jackson",2014-09-02,"License"
"4","THE PEPPER KITCHEN INC","3441 N SHEFFIELD AVE CHICAGO, IL 60657","38820","Food","Kyle Kirkegaard",2014-09-02,"Canvass"
"5","SUPERMERCADO LA RAZA","1645 W 47TH ST CHICAGO, IL 60609","2353934","Food","Judith Mann-Hamdan",2014-09-03,"License Re-Inspection"
"6","DUNKIN DONUTS/ BASKIN ROBBINS/ TOGO'S","7905 S CICERO AVE CHICAGO, IL 60652","1596892","Food","Kimberly Franklin",2014-09-03,"Recent Inspection"
"7","BEER","3415 N CLARK ST CHICAGO, IL 60657","1873823","Food","Kyle Kirkegaard",2014-09-03,"Canvass Re-Inspection"
"8","SALUD ES VIDA","2151 W CERMAK RD CHICAGO, IL 60608","2234228","Food","Alejandro Delgado",2014-09-03,"Canvass Re-Inspection"
"9","EL METRO","1959 W CHICAGO AVE CHICAGO, IL 60622","2349434","Food","Patricia Coats",2014-09-03,"License"
"10","BURGER KING #207","2700 S KEDZIE AVE CHICAGO, IL 60623","1473478","Food","Denise Batinich",2014-09-03,"Canvass"
"11","FORT DEARBORN ELEMENTARY","9025 S Throop (1300W) CHICAGO, IL 60620","CPS23241","Food","Sandra Balfour",2014-09-03,"Canvass"
"12","THE SALVATION ARMY HEAD START","5317 W CHICAGO AVE CHICAGO, IL 60651 ","2326966","Food","Jewel Walker",2014-09-03,"License Re-Inspection"
"13","DUNKIN BASKIN","2247B N MILWAUKEE AVE CHICAGO, IL 60647","1492714","Food","Joseph Jantke",2014-09-03,"Canvass"
"14","EL TACONAZO RESTAURANT","5849 S KEDZIE AVE CHICAGO, IL 60629","1964480","Food","Joyce Galvin",2014-09-03,"Complaint"
"15","RAINBOW BEACH CARE CENTER","7325 S EXCHANGE AVE CHICAGO, IL 60649","2340642","Food","Cecile Coffman",2014-09-03,"License Re-Inspection"
"16","SUBWAY","953 W WEBSTER AVE CHICAGO, IL 60614","2354661","Food","Rosarita Buco",2014-09-03,"License"
"17","ROCKY PANCAKE HOUSE","2948 E 83RD ST CHICAGO, IL 60617","2299323","Food","Sharon Lewis",2014-09-03,"Canvass"
"18","MARGARET'S","5134 W IRVING PARK RD CHICAGO, IL 60641","1953289","Food","Blesilda Guillen",2014-09-03,"Canvass"
"19","FEAST","1616 N DAMEN AVE CHICAGO, IL 60647","47621","Food","Michelle Jackson",2014-09-03,"Canvass Re-Inspection"
"20","SPEEDY CONVIENIENT","5000 S ASHLAND AVE CHICAGO, IL 60609 ","2079011","Food","Judith Mann-Hamdan",2014-09-03,"Complaint"
"21","SALVATION ARMY - SODEXHO","700 W BROMPTON AVE CHICAGO, IL 60657","20476","Food","Kyle Kirkegaard",2014-09-03,"Canvass"
"22","McDONALD'S","70 E GARFIELD BLVD CHICAGO, IL 60615","1302136","Food","Jacqueline Edwards",2014-09-03,"Complaint"
"23","TWO BROTHERS FOOD MART,INC.","3728 W DIVISION AVE CHICAGO, IL 60651 ","2354498","Food","Jewel Walker",2014-09-03,"License"
"24","PHOENIX RESTAURANT OF IL.L.L.C","2131 S ARCHER AVE CHICAGO, IL 60616","47719","Food","Molly Lynch",2014-09-03,"Complaint Re-Inspection"
"25","MARIE'S BAKERY","3847 W FULLERTON AVE CHICAGO, IL 60647","1495140","Food","Joseph Jantke",2014-09-03,"Canvass Re-Inspection"
"26","Canteen @ Wright College","4300 N NARRAGANSETT AVE CHICAGO, IL 60634","21605","Food","Henry Millan",2014-09-03,"Canvass"
"27","Walmart Neighborhood Market","2551 W CERMAK RD CHICAGO, IL 60608","2164056","Food","Alejandro Delgado",2014-09-03,"Canvass Re-Inspection"
"28","FANNIE MAY","3338 N WESTERN AVE CHICAGO, IL 60618","2196876","Food","Audrey Rambus",2014-09-03,"Canvass"
"29","SILK ROAD LASALLE","19 S LA SALLE ST CHICAGO, IL 60603","46734","Food","Marwan Tamimi",2014-09-03,"Complaint"
"30","LINDO MEXICO","3115 W 26TH ST CHICAGO, IL 60623","50821","Food","Denise Batinich",2014-09-03,"Canvass"
"31","Chicago Organics","131 N CLINTON ST CHICAGO, IL 60661 ","2008126","Food","Nola Martin",2014-09-03,"Canvass"
"32","CARBON ON CHICAGO","810 N MARSHFIELD AVE CHICAGO, IL 60622","2068654","Food","Patricia Coats",2014-09-03,"Complaint"
"33","EXPRESS FOOD AND LIQUOR","3904 S WENTWORTH AVE CHICAGO, IL 60609","26787","Food","Judith Mann-Hamdan",2014-09-03,"Complaint Re-Inspection"
"34","ADRIANS FOOD  MARKET","3700 W DIVERSEY AVE CHICAGO, IL 60647","2004600","Food","Joseph Jantke",2014-09-03,"Complaint Re-Inspection"
"35","PUDGY'S PIZZA","13460 S BALTIMORE AVE CHICAGO, IL 60633","59269","Food","Kimberly Franklin",2014-09-03,"Canvass"
"36","ROOSEVELT FOOD MARKET, INC.","3959 W ROOSEVELT RD CHICAGO, IL 60624 ","2220524","Food","Michelle Jackson",2014-09-03,"Short Form Complaint"
"37","FOOD 4 LESS","4821 W NORTH AVE CHICAGO, IL 60639","1884255","Food","Jewel Walker",2014-09-03,"Complaint Re-Inspection"
"38","THE NEW LOOK","2544 E 83RD ST CHICAGO, IL 60617","1718695","Food","Sharon Lewis",2014-09-03,"Canvass"
"39","DOREEN'S PIZZERIA","13201 S BALTIMORE AVE CHICAGO, IL 60633","60383","Food","Kimberly Franklin",2014-09-03,"Canvass"
"40","HONEY BAKED HAM CO","3018 W BELMONT AVE CHICAGO, IL 60618","4427","Food","Audrey Rambus",2014-09-03,"Canvass"
"41","LA FIESTA BAKERY","6424 S PULASKI RD CHICAGO, IL 60629","1488177","Food","Joyce Galvin",2014-09-03,"Short Form Complaint"
"42","PLAYA ESCONDIDA RESTAURANT, INC.","3938 N CICERO AVE CHICAGO, IL 60641","1868973","Food","Blesilda Guillen",2014-09-03,"Canvass"
"43","FOOD LIFE/LETTUCE OFF PREM, CA","835 N MICHIGAN AVE CHICAGO, IL 60611","31294","Food","Luella Owens",2014-09-03,"Canvass"
"44","BAVETTE'S","218 W KINZIE ST CHICAGO, IL 60654 ","2115046","Food","Hilda Lainjo",2014-09-03,"Canvass"
"45","DENNIS'S CARRY OUT","3806 W 26TH ST CHICAGO, IL 60623","44964","Food","Denise Batinich",2014-09-03,"Canvass"
"46","CHINESE KITCHEN","3539 N CICERO AVE CHICAGO, IL 60641","2108311","Food","Blesilda Guillen",2014-09-03,"Complaint"
"47","REMI FOOD MART","7447 S SOUTH SHORE DR CHICAGO, IL 60649","2353999","Food","Cecile Coffman",2014-09-03,"License"
"48","SAVEWAY FOOD","313 E 43RD ST CHICAGO, IL 60653","1594450","Food","Jacqueline Edwards",2014-09-03,"Complaint"
"49","CIRCLE SUSHI & GRILL","1623  N HALSTED ST CHICAGO, IL 60614 ","2298768","Food","Rosarita Buco",2014-09-03,"Canvass"
"50","SUPERMERCADO EL TAPATIO","10300 S EWING AVE CHICAGO, IL 60617","1353913","Food","Judith Mann-Hamdan",2014-09-03,"Canvass"
"51","WEBSTER'S","2601-2603 N MILWAUKEE AVE CHICAGO, IL 60647 ","2079685","Food","Joseph Jantke",2014-09-03,"Canvass"
"52","FOUNDATIONS COLLEGE PREP","1233 W 109TH  PL CHICAGO, IL 60643 ","CPS3305862","Food","Sandra Balfour",2014-09-03,"Canvass"
"53","YUMMY YUMMY NOODLES","2002 S WENTWORTH AVE CHICAGO, IL 60616","2098003","Food","Molly Lynch",2014-09-03,"Canvass"
"54","MACY'S","111 N STATE ST CHICAGO, IL 60602","61208","Food","Marwan Tamimi",2014-09-03,"Complaint Re-Inspection"
"55","SU VANS INC.","3351 N LINCOLN AVE CHICAGO, IL 60657","1301327","Food","Kyle Kirkegaard",2014-09-03,"Canvass"
"56","PETERSON FOOD MART","2534 W PETERSON AVE CHICAGO, IL 60659","1272746","Food","Nilda Soto",2014-09-03,"Canvass"
"57","HOPLEAF BAR","5146-5148 N CLARK ST CHICAGO, IL 60640 ","2152669","Food","Frances Demma",2014-09-03,"Canvass Re-Inspection"
"58","MARILLAC SOCIAL CENTER INC.","212 S FRANCISCO AVE CHICAGO, IL 60612","2215595","Food","Michelle Jackson",2014-09-03,"License"
"59","GEB","841 W RANDOLPH ST FL CHICAGO, IL 60607 ","2142681","Food","Annette Grimes",2014-09-03,"Canvass"
"60","Pita Grill","3051 N CENTRAL AVE CHICAGO, IL 60634","2115281","Food","Henry Millan",2014-09-03,"Canvass"
"61","MEADOWBROOK EGG CO. INC.","1100 W FULTON MARKET CHICAGO, IL 60607","1518423","Food","Anita Brazil",2014-09-03,"Complaint Re-Inspection"
"62","MILT'S BBQ","2300 S THROOP ST CHICAGO, IL 60608","2327399","Food","Alejandro Delgado",2014-09-03,"License"
"63","BACINOS ITALIAN GRILL","248 W DIVERSEY PKWY CHICAGO, IL 60657","2327130","Food","Elvia Martinez-Ceballos",2014-09-03,"License Re-Inspection"
"64","LAS ISLAS MARIAS","4770 W GRAND AVE CHICAGO, IL 60639","1095992","Food","Jewel Walker",2014-09-03,"Complaint"
"65","CHICAGO PITA KITCHEN","13227 S BRAINARD AVE CHICAGO, IL 60633","1875357","Food","Kimberly Franklin",2014-09-03,"Canvass"
"66","GRILL-N-CHILL CAFE","2002 S WENTWORTH AVE CHICAGO, IL 60616","2093845","Food","Molly Lynch",2014-09-03,"Canvass"
"67","TRIOS PIZZA","7009 W HIGGINS AVE CHICAGO, IL 60656","32672","Food","Jay Khamphounvong",2014-09-03,"Canvass"
"68","THE FACTORY A GENTLEMEN'S CLUB","12050-12054 S DOTY AVE CHICAGO, IL 60628","1922019","Food","Sharon Lewis",2014-09-03,"Canvass"
"69","SNARF'S RIVER NORTH","600 W CHICAGO AVE CHICAGO, IL 60610","2041943","Food","Hilda Lainjo",2014-09-03,"Short Form Complaint"
"70","ACAPULCO ALEGRE","5306 W FULLERTON AVE CHICAGO, IL 60639","2162511","Food","Blesilda Guillen",2014-09-03,"Canvass"
"71","GIO'S TACOS","8701 S EXCHANGE AVE CHICAGO, IL 60617 ","2279041","Food","Sharon Lewis",2014-09-03,"Canvass"
"72","LAS TARASCAS DE MORELIA","6011 W IRVING PARK RD CHICAGO, IL 60634","2217108","Food","Henry Millan",2014-09-03,"Canvass"
"73","THE CUPCAKE COUNTER LLC","229 W Madison ST CHICAGO, IL 60606","2098262","Food","Ronald Leveston",2014-09-03,"Canvass Re-Inspection"
"74","ARCO IRIS","2950 W BELMONT AVE CHICAGO, IL 60618","2083723","Food","Audrey Rambus",2014-09-03,"Canvass"
"75","BUONA TERRA RISTORANTE","2535 N CALIFORNIA AVE CHICAGO, IL 60647","1226935","Food","Joseph Jantke",2014-09-03,"Canvass"
"76","MAYA'S PIZZA, INC.","8550 S COMMERCIAL AVE CHICAGO, IL 60617 ","1846595","Food","Sharon Lewis",2014-09-03,"Canvass"
"77","MEZCAL BIRRIA OCOTLAN","3325 W CERMAK RD CHICAGO, IL 60623","2354588","Food","Denise Batinich",2014-09-03,"License"
"78","TARBOUSH MEDITERRANEAN GRILL","1608 W NORTH AVE CHICAGO, IL 60622","2354352","Food","Patricia Coats",2014-09-03,"License"
"79","WELLS ON WELLS","1617 N WELLS ST CHICAGO, IL 60614","1442816","Food","Michael Kurczewski",2014-09-03,"Canvass"
"80","ANTIOCH MISSIONARY BAPTIST CHURCH","415 W ENGLEWOOD AVE CHICAGO, IL 60621 ","0","Food","Joyce Galvin",2014-09-03,"Complaint"
"81","FORK","4600 N LINCOLN AVE CHICAGO, IL 60625","1276082","Food","Sonya Enoch",2014-09-03,"Canvass Re-Inspection"
"82","BROADWAY GRILL, INC.","4800 N BROADWAY CHICAGO, IL 60640 ","1620335","Food","Frances Demma",2014-09-03,"Complaint Re-Inspection"
"83","ETNO VILLAGE GRILL","2580 N LINCOLN AVE CHICAGO, IL 60614 ","2074122","Food","Rosarita Buco",2014-09-03,"Canvass"
"84","BIRRIERIA OCOTLAN INC","4007 E 106TH ST CHICAGO, IL 60617","1620284","Food","Judith Mann-Hamdan",2014-09-03,"Canvass"
"85","BROADWAY CELLARS","5900 N BROADWAY CHICAGO, IL 60660","1717951","Food","Nilda Soto",2014-09-03,"Canvass"
"86","CAFE HOANG","232 W CERMAK RD CHICAGO, IL 60616 ","1676735","Food","Jacqueline Edwards",2014-09-03,"Canvass"
"87","BAHAY KUBO","2002 S WENTWORTH AVE CHICAGO, IL 60616","2162560","Food","Molly Lynch",2014-09-03,"Canvass"
"88","KIMBERLY SUSHI","2547 W LAWRENCE AVE CHICAGO, IL 60625","78384","Food","Sonya Enoch",2014-09-03,"Canvass Re-Inspection"
"89","EMBEYA","564 W RANDOLPH ST CHICAGO, IL 60661 ","2142446","Food","Nola Martin",2014-09-03,"Canvass"
"90","P S BANGKOK RESTAURANT II","2521 N HALSTED ST CHICAGO, IL 60614","7385","Food","Rosarita Buco",2014-09-03,"Canvass Re-Inspection"
"91","7-ELEVEN #33768H","6200 N SAYRE AVE CHICAGO, IL 60631 ","2246362","Food","Jay Khamphounvong",2014-09-03,"Canvass Re-Inspection"
"92","IDA CROWN JEWISH ACADEMY","2828 W PRATT BLVD CHICAGO, IL 60645","0","Food","Jesus Su",2014-09-03,"Canvass"
"93","NEXT RESTAURANT","953-955 W FULTON MARKET CHICAGO, IL 60607 ","2043542","Food","Annette Grimes",2014-09-03,"Canvass"
"94","KEREN KITCHEN, INC.","1513 W IRVING PARK RD CHICAGO, IL 60613","2349792","Food","Kyle Kirkegaard",2014-09-03,"License"
"95","WHALES FISH & CHICKEN","3600 W CHICAGO AVE CHICAGO, IL 60651","1766492","Food","Jewel Walker",2014-09-03,"Complaint Re-Inspection"
"96","YUM NOODLE CORP","201 N WELLS ST CHICAGO, IL 60606 ","2284599","Food","Ronald Leveston",2014-09-03,"Canvass"
"97","LATE NIGHT THAI AND SUSHI","1624 W BELMONT AVE CHICAGO, IL 60657","2353933","Food","Elvia Martinez-Ceballos",2014-09-03,"License"
"98","JACK AND GINGERS","2048 W ARMITAGE AVE CHICAGO, IL 60647","1767508","Food","Michelle Jackson",2014-09-03,"Complaint"
"99","TREASURE ISLAND FOODS","1639 N WELLS ST CHICAGO, IL 60614","1307","Food","Michael Kurczewski",2014-09-03,"Canvass Re-Inspection"
"100","ASIAN AVENUE","1624 W BELMONT AVE CHICAGO, IL 60657","1682304","Food","Elvia Martinez-Ceballos",2014-09-03,"Canvass"
"101","PUBLICAN QUALITY MEATS","825 W FULTON MARKET CHICAGO, IL 60607 ","2099242","Food","Anita Brazil",2014-09-03,"Canvass"
"102","RICE THAI CAFE","6744 N SHERIDAN RD CHICAGO, IL 60626 ","2354674","Food","Jesus Su",2014-09-03,"License"
"103","YOKOZUNA","1131 W BRYN MAWR AVE CHICAGO, IL 60660","2189285","Food","Nilda Soto",2014-09-03,"Canvass"
"104","HABETLER BOWL INC.","5242 -5250 N NORTHWEST HWY CHICAGO, IL 60630","38164","Food","Jay Khamphounvong",2014-09-03,"Canvass"
"105","GYRO MENA","905 W BELMONT CHICAGO, IL 60657 ","2129570","Food","Elvia Martinez-Ceballos",2014-09-03,"Complaint"
"106","CORCORANS PANTRY INC","1105 W BRYN MAWR AVE CHICAGO, IL 60660","9412","Food","Nilda Soto",2014-09-03,"Canvass"
"107","SUBWAY # 26817-309 W. MONROE","309 W MONROE ST CHICAGO, IL 60606 ","1519940","Food","Ronald Leveston",2014-09-03,"Short Form Complaint"
"108","RUSHMORE","1023 W LAKE ST CHICAGO, IL 60607","86497","Food","Annette Grimes",2014-09-03,"Canvass"
"109","EXPRESSION LAVAZZA","140 E WALTON PL CHICAGO, IL 60611","2114424","Food","Luella Owens",2014-09-03,"Canvass"
"110","UNITED SERBS SPORT CLUB INC","4526 N MILWAUKEE AVE CHICAGO, IL 60630","34777","Food","Jay Khamphounvong",2014-09-03,"Canvass Re-Inspection"
"111","VERA","1023 W LAKE ST CHICAGO, IL 60607","1898310","Food","Annette Grimes",2014-09-03,"Canvass"
"112","EL TRIGAL MEXICANA BAKERY","3107 W MONTROSE AVE CHICAGO, IL 60618","64381","Food","Audrey Rambus",2014-09-04,"Canvass Re-Inspection"
"113","SUBWAY","3538 E 118TH ST CHICAGO, IL 60617","1843586","Food","Judith Mann-Hamdan",2014-09-04,"Canvass"
"114","CERMAK PRODUCE","1711 W CERMAK RD CHICAGO, IL 60608","1476657","Food","Alejandro Delgado",2014-09-04,"Canvass Re-Inspection"
"115","Burger King #17392","2345 S PULASKI RD CHICAGO, IL 60623","2003825","Food","Denise Batinich",2014-09-04,"Complaint"
"116","BIG STAR #2","1537 N DAMEN AVE CHICAGO, IL 60622 ","2293438","Food","Patricia Coats",2014-09-04,"License"
"117","DIVERSEY PRODUCE & DELI","3647-51 W DIVERSEY AVE CHICAGO, IL 60647","2069403","Food","Joseph Jantke",2014-09-04,"Canvass"
"118","Mario's Tacos Corporation","4256 W FULLERTON AVE CHICAGO, IL 60639","2202954","Food","Blesilda Guillen",2014-09-04,"Canvass Re-Inspection"
"119","BIG STAR #2","1537 N DAMEN AVE CHICAGO, IL 60622 ","2340908","Food","Patricia Coats",2014-09-04,"License"
"120","GALLERY BAR","738 N CLARK ST CHICAGO, IL 60654 ","2261940","Food","Hilda Lainjo",2014-09-04,"Canvass"
"121","SU NUEVA CASA DEL GALLO BRAVO, INC.","3714 W LAWRENCE AVE CHICAGO, IL 60625","2308713","Food","Sonya Enoch",2014-09-04,"Canvass Re-Inspection"
"122","WHITE CASTLE #24","7912 S PULASKI RD CHICAGO, IL 60652","1676601","Food","Kimberly Franklin",2014-09-04,"Canvass"
"123","COLUMBUS BUILDING CAFE","280 S COLUMBUS DR FL CHICAGO, IL 60603 ","2164133","Food","Marwan Tamimi",2014-09-04,"Canvass"
"124","REGAL CINEMAS WEBSTER PLACE","1471 W WEBSTER AVE CHICAGO, IL 60614 ","2036426","Food","Rosarita Buco",2014-09-04,"Canvass"
"125","Josephine Locke Elementary School","2828 N Oak Park Av (6832W) CHICAGO, IL 60634","CPS24231","Food","Henry Millan",2014-09-04,"Canvass"
"126","PETE'S FRESH MARKET","3448 E 118TH ST CHICAGO, IL 60617","1598145","Food","Judith Mann-Hamdan",2014-09-04,"Canvass"
"127","PETE'S MARKET","5724 S KEDZIE AVE CHICAGO, IL 60629","36823","Food","Joyce Galvin",2014-09-04,"Canvass"
"128","SWEET STATION","2101 S CHINA PL CHICAGO, IL 60616","2142652","Food","Molly Lynch",2014-09-04,"Canvass"
"129","A P DELI","2025 E 75TH ST CHICAGO, IL 60649","47405","Food","Cecile Coffman",2014-09-04,"Canvass"
"130","DOVE'S LUNCHEONETTE","1543-1545 N DAMEN AVE CHICAGO, IL 60622","2304433","Food","Patricia Coats",2014-09-04,"License"
"131","SWEET MANDY B'S","1206 - 1208 W WEBSTER AVE CHICAGO, IL 60614 ","2162899","Food","Michael Kurczewski",2014-09-04,"Canvass"
"132","SUNLIGHT CAFE","227 W CERMAK RD CHICAGO, IL 60616","1594913","Food","Jacqueline Edwards",2014-09-04,"Canvass"
"133","DOVE'S LUNCHEONETTE","1543-1545 N DAMEN AVE CHICAGO, IL 60622","2304434","Food","Patricia Coats",2014-09-04,"License"
"134","J AND P FINER FOODS","3501 W MONTROSE AVE CHICAGO, IL 60618","1567","Food","Audrey Rambus",2014-09-04,"Canvass"
"135","SUPERMERCADOS VILLAVICENCIO","3647-51 W DIVERSEY AVE CHICAGO, IL 60647","2334811","Food","Joseph Jantke",2014-09-04,"License"
"136","CHARTWELLS","2456 N MANGO  CHICAGO, IL 60639","2326939","Food","Jewel Walker",2014-09-04,"License"
"137","KENWOOD OF LAKEVIEW","3121 N SHERIDAN RD CHICAGO, IL 60657","64391","Food","Kyle Kirkegaard",2014-09-04,"Canvass"
"138","DUNKIN DONUTS / BASKIN ROBINS","555 W LAKE ST CHICAGO, IL 60661","1742999","Food","Nola Martin",2014-09-04,"Canvass"
"139","REGAL CINEMAS WEBSTER PLACE","1471 W WEBSTER AVE CHICAGO, IL 60614 ","2314765","Food","Rosarita Buco",2014-09-04,"License"
"140","DONA MARIS #2","3518 W MONTROSE AVE CHICAGO, IL 60618","24877","Food","Audrey Rambus",2014-09-04,"Canvass"
"141","GREEN TOMATO CAFE","3750 W OGDEN AVE CHICAGO, IL 60623 ","2184944","Food","Denise Batinich",2014-09-04,"Canvass Re-Inspection"
"142","Jensen","3030 W Harrison (600S) CHICAGO, IL 60612","CPS29341","Food","Michelle Jackson",2014-09-04,"Canvass"
"143","LAO YUNNAN RESTAURANT","2109 S CHINA PL CHICAGO, IL 60616","2157036","Food","Molly Lynch",2014-09-04,"Canvass Re-Inspection"
"144","THE PEPPER CANISTER","509 N WELLS ST CHICAGO, IL 60610","1272603","Food","Hilda Lainjo",2014-09-04,"Canvass"
"145","BARNEY'S PIZZA","5648 W CHICAGO AVE CHICAGO, IL 60651","1742764","Food","Jewel Walker",2014-09-04,"Complaint Re-Inspection"
"146","STARBUCKS COFFEE #2491","1900 W MONTROSE AVE CHICAGO, IL 60613","1118873","Food","Kyle Kirkegaard",2014-09-04,"Canvass Re-Inspection"
"147","MOON PALACE","216 W CERMAK RD CHICAGO, IL 60616","40337","Food","Jacqueline Edwards",2014-09-04,"Canvass Re-Inspection"
"148","7 ELEVEN","2757 N PINE GROVE AVE CHICAGO, IL 60614","1248291","Food","Rosarita Buco",2014-09-04,"Canvass Re-Inspection"
"149","RESTAURANT MARISCOS NAYARIT","4318 W FULLERTON AVE CHICAGO, IL 60639 ","2013434","Food","Blesilda Guillen",2014-09-04,"Canvass"
"150","WALEED TRADING INC.","3524 W MONTROSE AVE CHICAGO, IL 60618","1799916","Food","Audrey Rambus",2014-09-04,"Canvass"
"151","JEFFERSON TAP AND GRILLE AND THE LOFT","323-325 N JEFFERSON ST CHICAGO, IL 60661","37086","Food","Nola Martin",2014-09-04,"Canvass"
"152","BURGER JOINT","675 N FRANKLIN ST CHICAGO, IL 60654","2114182","Food","Hilda Lainjo",2014-09-04,"Canvass"
"153","WENDY'S #000733","6 S CLARK ST CHICAGO, IL 60603","6781","Food","Marwan Tamimi",2014-09-04,"Complaint"
"154","BRIGHT SMILES DAYCARE'S INFANT SUITE","1702 E 87TH ST CHICAGO, IL 60617","2313579","Food","Cecile Coffman",2014-09-04,"License Re-Inspection"
"155","THE GRIND CAFE INC","4613 N LINCOLN AVE CHICAGO, IL 60625","2234061","Food","Sonya Enoch",2014-09-04,"Canvass"
"156","AJI ICHIBAN STORE","2117A S CHINA PL CHICAGO, IL 60616","1816440","Food","Molly Lynch",2014-09-04,"Canvass Re-Inspection"
"157","NOOR FOOD MARKET, INC.","1825 W 59TH ST CHICAGO, IL 60636","2354287","Food","Joyce Galvin",2014-09-04,"License Re-Inspection"
"158","THE PREVIOUS ADMINISTRATION","3152-54 W DIVERSEY AVE CHICAGO, IL 60647 ","2261729","Food","Joseph Jantke",2014-09-04,"Canvass"
"159","THE CHG BEAR SPORTS BAR/GRILL","6335 S CENTRAL AVE CHICAGO, IL 60638","12465","Food","Kimberly Franklin",2014-09-04,"Canvass"
"160","DERBY","1222 - 1224 W WEBSTER AVE CHICAGO, IL 60614 ","2129321","Food","Michael Kurczewski",2014-09-04,"Canvass"
"161","LUCY'S PALETERIA Y NEVERIA FRUITLANDIA","4207 W 26TH ST CHICAGO, IL 60623","2270621","Food","Denise Batinich",2014-09-04,"Canvass"
"162","HIBACHI SEAFOOD BUFFET","3556 E 118TH ST CHICAGO, IL 60617","1595096","Food","Judith Mann-Hamdan",2014-09-04,"Canvass"
"163","CARNITAS  TZARARACUA","1813 S ASHLAND AVE CHICAGO, IL 60608","31712","Food","Alejandro Delgado",2014-09-04,"Canvass"
"164","SANTULLO'S EATERY","1943-1945 W NORTH AVE CHICAGO, IL 60622","1767714","Food","Patricia Coats",2014-09-04,"Complaint"
"165","DUDLEY'S DOG HOUSE","3930 W MONTROSE AVE CHICAGO, IL 60618","2289663","Food","Audrey Rambus",2014-09-04,"Canvass"
"166","BOURBON CAFE'","4768 N LINCOLN AVE CHICAGO, IL 60625","54753","Food","Sonya Enoch",2014-09-04,"Canvass Re-Inspection"
"167","SILOM12","1846-1848 N MILWAUKEE AVE BLDG 1STFL. & BSMT CHICAGO, IL 60647","2064938","Food","Michelle Jackson",2014-09-04,"Canvass"
"168","ABE'S AND TOMMIE'S CARRYOUT","5107 W CHICAGO AVE CHICAGO, IL 60651 ","2008833","Food","Jewel Walker",2014-09-04,"Complaint Re-Inspection"
"169","DOLO GARDEN RESTAURANT & BAR","2222-2224 S ARCHER AVE CHICAGO, IL 60616","2341764","Food","Jacqueline Edwards",2014-09-04,"License Re-Inspection"
"170","PEET'S COFFEE & TEA","3025 N CLARK ST CHICAGO, IL 60657","2341234","Food","Elvia Martinez-Ceballos",2014-09-04,"License"
"171","PONZU SUSHI","2407 N CLARK ST CHICAGO, IL 60614","1228206","Food","Rosarita Buco",2014-09-04,"Canvass Re-Inspection"
"172","DOLO GARDEN RESTAURANT & BAR","2222-2224 S ARCHER AVE CHICAGO, IL 60616","2341765","Food","Jacqueline Edwards",2014-09-04,"License Re-Inspection"
"173","MAX'S TAKE OUT","20 E ADAMS ST CHICAGO, IL 60603","11172","Food","Marwan Tamimi",2014-09-04,"Canvass Re-Inspection"
"174","La Parrilla Colombian Steakhouse,LLC","6427 W IRVING PARK  RD CHICAGO, IL 60634 ","2064446","Food","Henry Millan",2014-09-04,"Canvass"
"175","THE DUKE OF PERTH","2913 N CLARK ST CHICAGO, IL 60657","18158","Food","Kyle Kirkegaard",2014-09-04,"Canvass"
"176","4 SUYOS","2727 W FULLERTON AVE CHICAGO, IL 60647","2134086","Food","Joseph Jantke",2014-09-04,"Canvass Re-Inspection"
"177","WHOLE FOODS MARKET","1101 S CANAL ST CHICAGO, IL 60607","1678043","Food","Annette Grimes",2014-09-04,"Canvass"
"178","RED DOOR","2118 N DAMEN AVE CHICAGO, IL 60647","1249926","Food","Joseph Jantke",2014-09-04,"Canvass"
"179","THE MELTING POT","609 N DEARBORN ST CHICAGO, IL 60610","1488797","Food","Hilda Lainjo",2014-09-04,"Canvass Re-Inspection"
"180","TIERRA MAR","6316 S ARCHER AVE CHICAGO, IL 60638","2319929","Food","Molly Lynch",2014-09-04,"Canvass Re-Inspection"
"181","QUICK SHOP FOOD MART","1806-1808 E 79TH ST CHICAGO, IL 60649","2177215","Food","Cecile Coffman",2014-09-04,"Canvass Re-Inspection"
"182","A & S FOOD","2954 W 63RD ST CHICAGO, IL 60629 ","2354027","Food","Joyce Galvin",2014-09-04,"License Re-Inspection"
"183","BAKER MILLER, LLC","4610 N WESTERN AVE CHICAGO, IL 60625 ","2354630","Food","Sonya Enoch",2014-09-04,"License"
"184","POTBELLY SANDWICH WORKS","547 W JACKSON BLVD CHICAGO, IL 60661","1869182","Food","Ronald Leveston",2014-09-04,"Canvass"
"185","SUITE 25","2529 N MILWAUKEE AVE CHICAGO, IL 60647","2048701","Food","Joseph Jantke",2014-09-04,"Canvass"
"186","SOL CAFE","1615 W HOWARD ST CHICAGO, IL 60626 ","2202462","Food","Nilda Soto",2014-09-04,"Canvass"
"187","KIKKA-SOUTH LOOP","1101 S CANAL ST CHICAGO, IL 60607","1898506","Food","Anita Brazil",2014-09-04,"Canvass"
